influencer
@VitalikButerin
@satoshilite
@rogerkver
@ethereumJoseph
@barrysilbert
@gavinandresen
@novogratz
@aantonop
@alexsunnarborg
@CremeDeLaCrypto
@woonomic
@PeterLBrandt
@RonnieMoas
@wences
@lopp
@balajis
@onemanatatime
@CryptoHustle
@westcoastbill
@CharlieShrem
@ljxie
@dydxderivatives
@DharmaProtocol
@ParadexIO
@RadarRelay
@SetProtocol
@JihanWu
@starkness
@lightning
@PerianneDC
@NickSzabo
@adam
@WhalePanda
@cburniske
@TuurDemeester
@AriannaSimpson
@neha
@petertoddbtc
@Melt_Dem
@e_rossiello
@VentureCoinist
@ToneVays
@FEhrsam
@brian_armstrong
@TonyGallippi
@dahongfei
@ummjackson
@dogecoin
@winklevoss
@tylerwinklevoss
